EPAV,ISCN,PACC,PAGE,PAGI,PAWR,PBCV,PBKT,PBSG,PBSK,PCAR,PCMT,PCOL,PCON,PCSA,PCTH,PCYL,PDPI,PDRO,PDRR,PEGO,PELU,PEPS,PFMS,PFNA,PGHE,PGID,PHGT,PHSN,PHTN,PIMP,PINJ,PJEN,PJMP,PKAC,PKPR,PKRT,PLBD,PLBK,PLCI,PLCP,PLHT,PLHY,PLIB,PLJM,PLMC,PLMO,PLNA,PLPE,PLPL,PLPM,PLPO,PLPR,PLPU,PLRL,PLSA,PLSC,PLSM,PLTR,PLZC,PMRR,POID,POVR,PPBF,PPBK,PPBS,PPLA,PQBS,PRBF,PRBK,PRBS,PRSE,PSA0,PSA1,PSA2,PSB0,PSB1,PSBO,PSKI,PSPD,PSTA,PSTM,PSTN,PSTR,PSXP,PTAD,PTAK,PTAM,PTAS,PTEN,PTGH,PTHA,PTHP,PTOR,PTSA,PTUP,PVCO,PVSB,PVTS,PWGT,PYCF,PYRP,SRRN,TGID,TRBH,TRBR,TRCB,TRCL,TRDO,TRDS,TRFB,TRFK,TRFY,TRHM,TRJR,TRSB,TRSW,TRTA,TRTL,TRTS,TRWU,PLTY,PPOS,PYWT,PLDT,PCPH,PROL,PCBT,PSA3,PSB2,PSB3,PICN,PHAN,PSA4,PSB4,PSA5,PSA6,PSB5,PSB6,PSTY
4,0,85,24,77,70,32,16,74,12,30,8773,253,4,126,28,3,10,3,4,46,68,TriceBralen_14754,75,Bralen,100,14754,76,2,Phoenix,10,88,48,78,19,22,10,53437,19,21,0,76,0,80,26,43,1,Trice,24,0,72,99,69,79,23,32,30,20,35,49,8,14754,71,45,45,45,6,0,45,45,45,15,75,100,114,26,26,104,0,82,79,0,0,76,10270,6,78,6,6,1,85,19,27,6,441,16,4,104,441,114,50,1,15,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,11,1,14,0,0,2,152,26,26,1,0,0,0,0,0,0,0,0
6,0,81,22,67,87,53,38,82,12,42,3530,215,4,365,46,3,16,1,20,82,64,MurphyIIByron_14758,78,Byron,142,14758,73,42,DeSoto,10,90,91,80,18,20,10,17470,26,22,0,82,0,87,45,25,1,Murphy II,29,0,83,99,86,84,28,48,25,41,53,34,23,14758,84,45,45,45,6,0,45,45,45,5,70,153,226,203,212,839,0,77,78,0,0,90,10189,6,89,6,6,1,88,20,25,6,748,10,4,839,748,148,50,1,29,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,12,1,28,0,1,2,299,212,212,1,0,0,0,0,0,0,0,0
6,0,70,24,67,72,45,39,82,13,44,6925,215,4,203,47,3,6,2,3,95,45,SweatTVondre_14760,75,T'Vondre,284,14760,77,42,Huntsville,10,90,93,66,23,24,10,23357,25,41,0,83,0,88,38,24,1,Sweat,20,0,70,99,76,78,12,55,43,30,50,28,5,14760,79,40,40,40,6,0,45,45,45,5,70,111,152,92,92,368,0,63,70,0,0,94,10258,7,87,10,13,1,86,30,22,6,525,15,4,368,525,206,50,1,10,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,12,1,30,0,1,3,192,92,92,1,0,0,0,0,0,0,0,0
5,0,87,22,82,76,29,28,74,12,28,1472,234,4,126,26,3,12,3,3,63,70,EllissJonah_14764,74,Jonah,84,14764,74,11,Moscow,10,84,52,90,19,20,10,6591,17,39,0,74,0,79,27,41,1,Elliss,26,0,71,99,75,79,17,33,42,24,26,47,7,14764,73,44,44,46,6,0,45,44,44,5,75,100,105,26,26,104,0,81,78,0,0,74,10066,6,77,6,6,1,84,20,22,6,431,17,4,104,431,86,50,1,14,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,10,1,4,0,0,2,151,26,26,1,0,0,0,0,0,0,0,0
6,0,80,23,67,68,40,35,78,13,44,2489,118,4,167,46,3,17,2,3,39,55,JenkinsKris_14767,66,Kris,284,14767,75,19,Olney,10,90,90,74,23,24,10,21693,20,35,0,82,0,86,38,24,1,Jenkins Jr,20,0,72,99,71,78,12,47,38,30,50,28,5,14767,74,40,40,40,6,0,45,45,45,5,70,104,137,63,63,252,0,75,83,0,0,87,10124,7,83,10,13,1,90,30,22,6,481,15,4,252,481,150,50,1,10,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,12,1,2,0,1,3,170,63,63,1,0,0,0,0,0,0,0,0
6,0,82,24,70,73,28,12,79,12,26,9056,161,4,111,35,3,9,4,3,42,52,DorlusBrandon_14768,72,Brandon,249,14768,75,8,Fort Lauderdale,10,88,54,75,19,21,9,45373,14,17,0,81,0,87,29,22,1,Dorlus,23,0,77,99,70,78,17,31,20,25,38,29,6,14768,73,44,44,45,6,0,45,44,44,5,75,91,103,20,20,80,0,77,85,95,0,84,10058,6,79,6,6,1,89,21,22,6,383,16,4,80,383,123,50,1,13,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,12,1,14,0,0,2,114,20,20,1,0,0,0,0,0,0,0,0
3,0,86,23,77,73,24,13,71,14,24,7665,165,4,121,25,3,30,3,5,54,71,IsaacAdisa_14769,75,Adisa,228,14769,76,31,Brooklyn,10,83,50,83,21,22,10,9405,20,21,0,74,0,78,41,42,1,Isaac,42,0,71,99,71,80,12,34,22,35,26,49,7,14769,72,51,49,48,6,0,50,49,45,14,75,99,123,22,22,88,0,81,78,0,0,72,10114,6,79,6,6,1,83,30,19,6,445,10,4,88,445,94,50,1,10,25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,11,1,25,0,0,2,148,22,22,1,0,0,0,0,0,0,0,0
1,0,81,23,81,64,76,68,36,81,61,4323,42,4,83,32,4,6,5,18,99,79,SandersShedeur_14770,34,Shedeur,204,14770,74,42,Dallas,10,94,12,75,27,21,22,14526,26,25,0,33,0,23,65,31,1,Sanders,32,0,35,99,42,33,25,52,26,58,50,32,15,14770,69,27,27,30,81,30,27,15,30,3,75,91,103,8,8,32,0,78,92,45,0,65,10718,82,37,79,84,1,96,9,88,83,383,76,4,32,383,52,50,0,21,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,0,5,0,0,0,114,8,8,1,0,0,0,0,0,0,0,0
2,0,91,22,83,69,79,70,26,23,74,2333,42,4,65,77,4,32,6,71,81,85,HornJrJimmy_14772,20,Jimmy,132,14772,68,8,Sanford,10,88,15,87,25,24,78,25662,22,75,0,19,0,32,73,64,1,Horn Jr,25,0,18,99,37,24,68,39,75,72,32,32,72,14772,67,15,21,23,16,0,12,38,13,3,61,78,90,4,4,16,0,91,84,5,0,61,10592,12,24,15,18,1,82,21,18,14,330,18,4,16,330,14,50,0,72,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,3,0,21,0,0,4,101,4,4,1,0,0,0,0,0,0,0,0
3,0,91,23,80,67,82,75,27,17,71,4503,42,1,23,79,1,511,63,71,69,81,SheppardWill_14774,22,Will,100,14774,75,17,Madisonville,10,88,82,89,17,23,55,22718,26,81,0,24,0,45,78,21,1,Sheppard,22,0,21,99,29,28,68,52,82,71,51,28,72,14774,68,22,29,28,18,0,30,47,24,1,23,0,0,0,0,0,0,86,83,45,0,68,0,12,29,10,15,1,85,19,28,7,23,12,1,0,23,43,50,0,74,1009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,85,23,83,62,73,63,40,89,65,5226,116,4,713,49,4,1,1,19,67,81,WardCam_14778,39,Cam,210,14778,74,42,West Columbia,10,93,1,80,28,24,28,51774,32,28,1,34,0,30,62,33,1,Ward,33,0,38,99,32,24,25,41,33,64,41,35,17,14778,73,33,26,36,82,22,33,32,33,3,75,94,220,638,638,2552,1,82,92,38,0,66,10768,79,35,78,85,1,94,69,91,87,690,80,4,2552,690,59,50,0,35,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,0,30,0,1,0,301,638,638,1,0,0,0,0,0,0,0,0
1,0,89,23,82,51,74,66,23,70,57,1032,123,1,45,38,1,511,63,15,67,84,CookBrady_14784,30,Brady,9,14784,74,24,St. Louis,10,88,4,85,26,22,21,25789,27,19,0,30,0,28,60,16,1,Cook,17,0,30,99,27,35,26,42,18,56,47,17,16,14784,62,26,25,18,79,1,21,19,22,1,45,0,0,0,0,0,0,85,89,45,0,67,10526,73,32,75,79,1,88,63,88,80,45,72,1,0,45,54,50,0,18,18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,0,83,23,78,64,66,53,39,60,63,2349,157,4,80,42,4,9,6,16,37,76,HowardWill_14785,39,Will,7,14785,76,37,Downingtown,10,91,18,72,23,21,32,50237,29,20,0,40,0,30,50,21,1,Howard,16,0,42,99,37,47,26,31,19,46,38,21,18,14785,64,34,27,37,80,1,33,25,35,1,75,91,103,5,5,20,1,81,86,45,0,68,10595,80,41,75,82,1,92,69,86,81,383,76,4,20,383,76,50,0,20,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,27,0,0,0,114,5,5,1,0,0,0,0,0,0,0,0
3,0,86,25,77,74,75,66,24,64,67,8451,106,4,157,36,4,8,2,19,50,75,ShoughTyler_14788,21,Tyler,27,14788,77,2,Chandler,10,81,6,73,16,30,27,58427,20,27,0,15,0,23,54,25,1,Shough,21,0,20,99,32,29,27,38,25,52,40,47,20,14788,77,18,21,17,83,20,14,11,15,11,70,110,150,87,87,348,1,87,82,38,0,56,10796,80,16,89,88,1,82,73,92,84,520,76,4,348,520,65,50,0,24,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,27,0,0,0,190,87,87,1,0,0,0,0,0,0,0,0
4,0,76,22,76,69,62,51,35,54,58,3222,206,1,23,29,1,5,6,18,48,73,McCordKyle_14789,36,Kyle,11,14789,75,29,Mt. Laurel,10,90,19,66,29,21,18,39998,32,27,0,31,0,23,43,16,1,McCord,17,0,36,99,40,51,26,26,31,34,30,15,18,14789,65,31,20,27,81,1,27,24,27,1,23,0,0,0,0,0,2,75,85,45,0,62,10653,80,36,74,83,1,91,68,87,72,23,74,1,0,23,60,50,0,24,1009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,80,24,77,51,60,67,36,68,55,8925,121,3,84,31,3,511,63,13,56,75,BrosmerMax_14792,33,Max,25,14792,74,9,Roswell,10,87,12,71,33,25,20,57661,30,18,0,29,0,28,63,18,1,Brosmer,15,0,34,99,33,42,25,44,16,57,49,14,15,14792,59,27,39,27,76,1,20,20,22,1,60,100,112,24,1,25,1,79,84,45,0,70,10501,72,32,78,77,1,86,31,87,75,272,73,3,25,272,58,50,0,18,31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,92,21,91,78,86,87,39,29,92,2481,20,4,652,70,4,6,1,56,72,91,JeantyAshton_14793,30,Ashton,257,14793,69,8,Jacksonville,10,91,2,93,25,24,74,5567,42,60,0,33,0,48,84,32,1,Jeanty,28,0,27,99,42,41,58,86,61,79,86,35,60,14793,83,35,51,42,26,0,30,41,32,1,84,247,410,568,568,2272,1,90,90,15,0,80,10611,18,37,21,24,1,93,36,31,21,1315,27,4,2272,1315,51,50,0,66,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,0,23,0,2,2,574,568,568,1,0,0,0,0,0,0,0,0
3,0,83,22,84,60,81,72,34,78,69,2874,153,4,80,39,4,13,6,21,38,83,LeonardRiley_14795,33,Riley,59,14795,76,0,Fairhope,10,87,15,77,33,18,28,27710,24,18,0,34,0,32,72,17,1,Leonard,32,0,35,99,16,25,28,54,16,68,58,44,16,14795,67,27,26,30,83,1,28,38,31,11,75,91,103,5,5,20,0,86,88,40,0,70,10634,76,37,75,82,1,87,66,89,79,383,72,4,20,383,56,50,0,16,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,0,10,0,0,1,114,5,5,1,0,0,0,0,0,0,0,0
1,0,88,22,82,79,90,75,15,76,64,8910,160,4,244,44,4,25,1,20,77,82,DartJaxson_14796,18,Jaxson,50,14796,74,43,Kaysville,10,92,6,74,30,27,30,27199,26,25,0,24,0,26,74,8,1,Dart,9,0,16,99,28,19,25,48,21,62,57,9,20,14796,76,30,25,32,85,37,30,30,31,3,75,136,197,169,169,676,2,84,90,40,0,63,10533,81,25,84,87,1,93,76,88,85,666,81,4,676,666,61,50,0,23,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,16,0,0,0,258,169,169,1,0,0,0,0,0,0,0,0
3,0,77,22,74,65,60,54,30,57,54,8933,215,4,63,41,4,15,7,23,73,74,EwersQuinn_14799,27,Quinn,24,14799,74,42,Southlake,10,86,14,70,32,33,18,31039,25,27,0,23,0,26,49,38,1,Ewers,30,0,27,99,46,46,28,29,33,37,30,19,18,14799,63,23,27,21,86,42,17,19,20,1,61,78,90,2,2,8,2,78,89,45,0,66,10546,74,23,76,81,1,85,71,86,78,330,77,4,8,330,54,50,0,25,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,12,0,0,0,101,2,2,1,0,0,0,0,0,0,0,0
1,0,93,22,89,49,87,74,37,74,56,8908,4,4,98,40,4,28,3,23,63,87,MilroeJalen_14800,38,Jalen,247,14800,74,42,Katy,10,88,6,87,21,28,33,28094,31,21,0,40,0,26,78,20,1,Milroe,19,0,38,99,26,28,28,68,18,73,52,18,19,14800,65,32,23,32,79,41,33,30,33,3,75,85,98,23,23,92,1,93,81,45,0,69,10664,78,42,73,76,1,89,9,92,77,359,74,4,92,359,56,50,0,19,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,0,28,0,0,0,101,23,23,1,0,0,0,0,0,0,0,0
4,0,78,24,75,67,69,57,30,61,59,8849,87,4,64,49,4,11,7,17,45,72,RourkeKurtis_14802,30,Kurtis,34,14802,76,50,Oakville,10,82,4,70,30,25,23,52412,28,17,0,30,0,30,52,20,1,Rourke,17,0,28,99,48,24,27,35,18,51,45,44,18,14802,62,34,24,35,75,1,33,23,33,11,61,78,90,3,3,12,0,76,87,38,0,67,10713,73,35,73,80,1,81,9,90,74,330,71,4,12,330,60,50,0,18,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,15,0,0,1,101,3,3,1,0,0,0,0,0,0,0,0
4,0,75,24,78,52,53,54,18,58,55,8899,63,4,79,27,4,21,6,18,55,77,MertzGraham_14803,24,Graham,7,14803,75,15,Overland Park,10,84,18,65,18,32,21,13756,26,23,0,19,0,26,46,17,1,Mertz,18,0,15,99,35,18,25,28,24,40,35,21,16,14803,60,31,28,27,80,1,30,22,27,11,75,92,103,4,4,16,2,77,83,45,0,60,10661,72,21,78,84,1,83,76,86,73,385,79,4,16,385,52,50,0,22,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,32,0,0,0,115,4,4,1,0,0,0,0,0,0,0,0
5,0,90,23,87,77,84,89,40,57,90,8871,10,4,95,72,4,3,4,52,27,85,SkatteboCam_14807,35,Cam,24,14807,70,4,Rio Linda,10,93,44,92,58,66,83,10430,47,56,0,43,0,51,82,19,1,Skattebo,17,0,32,99,18,47,61,82,57,73,95,22,55,14807,81,42,57,46,51,0,34,48,33,1,75,91,103,20,20,80,0,85,94,15,0,83,10732,52,45,55,58,1,95,15,63,59,383,50,4,80,383,56,50,0,63,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,0,16,0,1,2,114,20,20,1,0,0,0,0,0,0,0,0
1,0,88,24,84,82,86,83,32,29,95,3106,232,4,94,73,4,14,4,45,73,84,MarksWoody_14809,24,Woody,278,14809,70,9,Atlanta,10,89,27,85,23,23,76,60860,39,49,0,25,0,39,85,22,1,Marks,24,0,24,99,32,34,61,71,55,78,78,25,55,14809,79,42,51,40,30,0,33,40,29,2,75,91,103,19,19,76,2,88,87,15,0,70,10644,10,31,12,9,1,88,30,27,10,383,23,4,76,383,53,50,0,65,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,0,32,0,0,2,114,19,19,1,0,0,0,0,0,0,0,0
1,0,92,22,86,75,86,81,32,31,95,2207,157,4,162,67,4,6,2,56,85,83,HendersonTreVeyon_14810,28,TreVeyon,155,14810,70,45,Hopewell,10,82,32,89,18,27,71,46270,40,50,0,31,0,46,85,28,1,Henderson,29,0,25,99,46,39,51,75,47,84,80,24,61,14810,82,42,51,38,25,0,28,42,31,1,70,111,152,92,92,368,2,95,86,15,0,71,10584,10,33,15,24,1,83,30,18,20,525,32,4,368,525,42,50,0,66,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,0,22,0,1,0,192,92,92,1,0,0,0,0,0,0,0,0
1,0,91,21,85,81,86,85,36,20,96,8934,157,4,207,71,4,4,2,47,81,85,JudkinsQuinshon_14811,28,Quinshon,142,14811,72,0,Pike Road,10,91,10,91,22,22,45,60607,37,50,0,36,0,43,87,25,1,Judkins,25,0,27,99,35,40,52,81,47,76,84,35,49,14811,81,38,52,40,19,0,29,39,31,1,50,50,50,157,209,938,1,90,91,15,0,77,10618,14,39,27,27,1,92,66,29,7,200,24,4,938,200,61,50,0,57,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,0,5,0,1,2,50,260,312,1,0,0,0,0,0,0,0,0
2,0,96,23,90,61,84,81,38,27,85,5075,242,4,96,65,4,2,4,49,49,87,TutenBhayshul_14812,30,Bhayshul,177,14812,69,29,Paulsboro,10,88,33,94,23,35,85,28862,30,54,0,34,0,37,83,26,1,Tuten,22,0,28,99,29,38,59,73,56,78,78,30,52,14812,76,33,51,36,18,0,29,35,28,2,75,91,103,21,21,84,0,95,89,15,0,75,10762,10,37,15,21,1,87,30,29,14,383,26,4,84,383,46,50,0,59,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,0,17,0,1,2,114,21,21,1,0,0,0,0,0,0,0,0
2,0,91,22,78,74,77,82,42,31,88,2380,15,4,94,65,4,15,4,40,70,77,HunterJarquez_14822,31,Jarquez,129,14822,69,23,Philadelphia,10,93,27,86,21,21,82,60862,36,49,0,41,0,37,76,40,1,Hunter,44,0,29,99,46,49,47,82,49,70,85,47,52,14822,72,36,48,38,26,0,29,39,32,1,75,91,103,19,19,76,0,91,86,20,0,73,10598,22,42,29,33,1,87,20,54,30,383,33,4,76,383,44,50,0,57,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,0,24,0,0,2,114,19,19,1,0,0,0,0,0,0,0,0
1,0,89,22,81,69,83,79,34,31,91,3563,96,4,80,68,4,8,6,49,67,84,NealDevin_14835,30,Devin,200,14835,71,15,Lawrence,10,93,24,89,18,23,68,25535,38,54,0,36,0,42,83,26,1,Neal,25,0,28,99,36,40,53,67,53,79,74,30,55,14835,72,42,49,43,28,0,31,40,30,1,75,91,103,5,5,20,1,87,90,15,0,71,10676,23,40,29,36,1,89,27,45,34,383,31,4,20,383,53,50,0,60,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,0,29,0,0,2,114,5,5,1,0,0,0,0,0,0,0,0
6,0,86,22,73,66,15,10,76,12,40,5777,107,4,96,45,3,13,6,2,35,66,WingoMekhi_14846,67,Mekhi,176,14846,73,24,St. Louis,10,86,94,77,25,35,10,35263,20,36,0,82,0,86,10,15,1,Wingo,10,0,72,99,64,79,12,47,39,10,50,20,3,14846,70,45,45,45,6,0,45,45,45,5,75,91,103,5,5,20,0,77,86,0,0,79,10304,6,83,6,6,1,89,16,27,6,383,16,4,20,383,135,50,1,10,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,12,1,19,0,0,3,114,5,5,1,0,0,0,0,0,0,0,0
6,0,83,23,71,64,36,16,76,12,34,9093,39,4,209,48,3,3,2,3,52,64,OrhorhoroRuke_14850,66,Ruke,286,14850,76,50,Lagos,10,84,98,78,19,21,9,27837,18,10,0,83,0,87,32,23,1,Orhorhoro,22,0,76,99,66,80,17,36,12,27,33,29,6,14850,73,44,45,45,6,0,45,45,44,4,70,112,154,97,97,388,0,76,83,98,0,90,10202,6,80,6,6,1,88,21,22,6,532,15,4,388,532,130,50,1,13,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,12,1,14,0,0,2,196,97,97,1,0,0,0,0,0,0,0,0
6,0,82,25,67,86,50,40,77,12,33,9062,65,4,200,45,3,7,2,3,51,69,FiskeBraden_14855,76,Braden,54,14855,77,13,Michigan City,10,89,55,81,19,20,9,36924,12,17,0,80,0,83,51,39,1,Fiske,22,0,79,99,84,81,17,41,17,39,49,51,7,14855,80,45,45,45,6,0,45,45,44,15,70,110,150,90,90,360,0,80,83,0,0,93,10072,6,81,6,6,1,89,20,22,6,520,14,4,360,520,137,50,1,14,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,46,12,1,24,0,1,3,190,90,90,1,0,0,0,0,0,0,0,0
5,0,90,24,80,64,49,47,69,17,38,3530,227,1,23,38,1,511,63,5,46,75,MurphyGabriel_14857,68,Gabriel,153,14857,74,42,Dallas,10,90,59,91,14,15,30,27836,26,50,0,77,0,68,53,54,1,Murphy,47,0,62,99,69,78,30,51,43,45,37,55,5,14857,67,18,35,17,15,0,20,30,20,13,23,0,0,0,0,0,0,83,77,20,0,77,10188,5,73,10,15,1,80,37,37,20,23,21,1,0,23,87,0,1,15,1009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,10,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
6,0,75,22,64,64,38,14,77,12,46,4600,107,4,171,39,3,16,2,2,69,58,SmithMaason_14859,71,Maason,220,14859,78,17,Houma,10,83,94,76,20,30,10,27838,14,10,0,81,0,84,35,24,1,Smith,19,0,72,99,62,79,20,52,15,45,54,47,3,14859,69,45,45,45,6,0,45,45,45,15,71,105,139,66,66,264,0,72,80,0,0,83,10250,6,84,6,6,1,86,32,28,6,488,15,4,264,488,150,50,1,10,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,12,1,17,0,0,2,173,66,66,1,0,0,0,0,0,0,0,0
6,0,72,23,55,71,40,41,76,23,40,2454,216,4,120,22,3,34,3,4,34,51,JacksonMcKinnley_14860,65,McKinnley,189,14860,74,23,Lucedale,10,85,93,60,17,23,8,54717,11,15,0,77,0,87,38,17,1,Jackson,10,0,66,99,74,75,12,24,15,23,25,19,4,14860,69,18,23,25,15,0,45,45,45,5,75,99,123,21,21,84,0,64,76,0,0,84,10118,17,80,16,13,1,83,17,12,11,444,20,4,84,444,170,50,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,12,1,2,0,0,2,147,21,21,1,0,0,0,0,0,0,0,0
5,0,85,22,67,73,33,24,78,12,36,2061,157,4,150,33,3,22,2,3,60,58,HallJrMichael_14865,73,Mike,250,14865,74,34,Streetsboro,10,88,51,80,12,16,10,27327,18,28,0,80,0,83,34,21,1,Hall Jr,13,0,75,99,72,77,12,46,27,34,49,27,5,14865,72,45,45,45,6,0,45,45,45,3,70,100,130,50,50,200,0,81,77,0,0,79,10095,6,83,6,6,1,87,30,30,6,460,17,4,200,460,140,50,1,10,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,12,1,5,0,1,2,160,50,50,1,0,0,0,0,0,0,0,0
6,0,78,24,60,65,31,35,77,23,40,1191,39,4,96,22,3,20,6,4,42,51,DavisTyler_14866,67,Tyler,185,14866,74,8,Apopka,10,88,90,71,17,23,8,3388,11,15,0,83,0,86,37,17,1,Davis,10,0,72,99,70,78,13,24,15,23,25,19,4,14866,74,18,23,25,15,0,45,45,45,5,75,92,103,4,4,16,0,72,85,0,0,89,10380,17,87,16,13,1,87,17,12,11,385,15,4,16,385,140,50,1,4,24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,12,1,24,0,0,3,115,4,4,1,0,0,0,0,0,0,0,0
6,0,78,24,57,73,40,43,78,23,40,814,53,4,121,22,3,32,3,4,25,56,CarterDeWayne_14867,70,DeWayne,186,14867,74,34,Pickerington,10,90,90,78,17,23,8,21948,11,15,0,79,0,84,44,17,1,Carter,10,0,73,99,71,78,12,24,15,23,25,19,4,14867,70,18,23,25,15,0,45,45,45,15,75,99,124,22,22,88,0,73,84,0,0,82,10030,17,79,16,13,1,88,17,12,11,445,16,4,88,445,145,50,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,12,1,3,0,0,3,147,22,22,1,0,0,0,0,0,0,0,0
6,0,75,23,58,65,46,44,73,26,33,4913,116,0,23,28,0,511,63,5,29,57,TaylorIIILeonard_14869,76,Leonard,142,14869,76,8,Miami,10,90,93,74,20,26,36,59966,30,21,0,73,0,77,27,25,1,Taylor III,30,0,72,99,67,71,16,33,24,32,25,32,10,14869,65,46,33,28,17,0,38,30,28,15,0,0,0,0,0,0,0,68,71,15,0,84,10261,5,75,10,15,1,79,18,10,12,0,17,0,0,0,143,53,1,15,1009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,12,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
5,0,74,24,74,63,29,31,71,28,52,9125,81,0,103,52,0,511,63,5,33,66,CeaserNelson_14870,69,Nelson,249,14870,75,42,Missouri City,10,89,51,76,24,25,38,6845,38,41,0,80,0,82,38,38,1,Ceaser,48,0,66,99,71,79,23,25,42,43,27,44,5,14870,62,36,35,48,18,0,46,25,27,13,0,0,0,0,0,0,0,76,82,30,0,76,10032,5,74,10,15,1,81,16,33,14,0,19,0,0,0,94,54,1,15,1009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,13,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
5,0,91,25,72,70,45,30,73,17,30,6564,43,1,23,25,1,23,5,5,27,64,KamaraMohamed_14871,71,Mohamed,244,14871,73,29,Newark,10,90,59,83,17,20,10,19132,30,20,0,76,0,79,50,41,1,Kamara,37,0,69,99,69,77,16,33,25,45,40,46,6,14871,70,35,35,35,7,0,40,40,40,1,23,0,0,0,0,0,0,87,78,0,0,73,10137,6,76,8,10,1,83,25,25,8,23,13,1,0,23,93,50,1,10,1009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,39,10,0,12,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
4,0,77,23,77,71,24,23,72,23,29,4204,123,4,300,25,3,27,1,6,44,58,RobinsonDarius_14872,68,Darius,232,14872,77,21,Southfield,10,87,56,84,21,24,8,27709,23,25,0,80,0,81,17,32,1,Robinson,25,0,73,99,72,75,10,28,21,14,16,33,8,14872,70,35,35,35,11,0,40,40,40,13,75,135,195,165,165,660,0,74,79,20,0,87,10230,27,78,19,12,1,85,13,17,13,660,16,4,660,660,125,50,1,10,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,43,12,1,7,0,0,2,255,165,165,1,0,0,0,0,0,0,0,0
